iter	MultiClass
0	1.435031012
1	1.314505505
2	1.222537492
3	1.152967701
4	1.095984878
5	1.049113074
6	1.009441875
7	0.9705652414
8	0.9415565742
9	0.9162551689
10	0.8909914504
11	0.867523286
12	0.850300457
13	0.834583249
14	0.821749224
15	0.8078422421
16	0.7947428475
17	0.7856255663
18	0.7766095467
19	0.7660420965
20	0.7583130737
21	0.7521757426
22	0.7444927928
23	0.7379404652
24	0.7335834607
25	0.7296514893
26	0.7259648044
27	0.7213960256
28	0.717113988
29	0.7119301919
30	0.7083580469
31	0.7052868781
32	0.7017558173
33	0.6991069777
34	0.695185575
35	0.692902726
36	0.6909395476
37	0.689269424
38	0.686894338
39	0.6860997872
40	0.6834642413
41	0.681252534
42	0.6793513963
43	0.6781868818
44	0.6774062139
45	0.6751197369
46	0.6732890967
47	0.672333537
48	0.6708569722
49	0.6697737072
50	0.6690057196
51	0.6682177087
52	0.6664839164
53	0.6654601295
54	0.6646670498
55	0.6636913162
56	0.6627961264
57	0.6624474392
58	0.6617186283
59	0.6604662774
60	0.6599599552
61	0.6597505044
62	0.6595059143
63	0.6579158983
64	0.6572550978
65	0.6570837929
66	0.6556109051
67	0.6552900724
68	0.6545760623
69	0.6543128251
70	0.6537762669
71	0.6535109594
72	0.6532160254
73	0.6530802004
74	0.6514184017
75	0.6506836507
76	0.6504915397
77	0.6502718408
78	0.6493256115
79	0.648994243
80	0.6478180546
81	0.6466065745
82	0.646169051
83	0.6454507938
84	0.6450052564
85	0.6447850274
86	0.644401744
87	0.6438407275
88	0.643528048
89	0.642751382
90	0.642329256
91	0.6417065119
92	0.6410438286
93	0.640813862
94	0.6406437192
95	0.640171281
96	0.6395215069
97	0.6388179206
98	0.6384266852
99	0.637983798
100	0.6377748776
101	0.6371338813
102	0.6370490545
103	0.6361119788
104	0.6359033568
105	0.635244302
106	0.6351280321
107	0.6344015348
108	0.6336402028
109	0.6335501595
110	0.6335002743
111	0.6332833581
112	0.6327182661
113	0.6316695872
114	0.631485022
115	0.6311068126
116	0.6308423953
117	0.6305175083
118	0.6302444571
119	0.6299457586
120	0.6296628396
121	0.6293925074
122	0.6287444737
123	0.628405533
124	0.6278197971
125	0.6272053698
126	0.6265045441
127	0.6260162619
128	0.6252817644
129	0.6250166805
130	0.6244810573
131	0.6236736447
132	0.6231582768
133	0.6228137303
134	0.6224033736
135	0.6220511673
136	0.6217944796
137	0.6213681523
138	0.6212480167
139	0.6206929084
140	0.6202992949
141	0.6199403535
142	0.6197123867
143	0.6194572758
144	0.6192358173
145	0.6188642535
146	0.6187855919
147	0.618507371
148	0.6178541614
149	0.6177285681
150	0.617582806
151	0.6174595786
152	0.6170087979
153	0.6167852585
154	0.616681956
155	0.6164641326
156	0.6163821108
157	0.6162224539
158	0.6160270181
159	0.6157676626
160	0.6152001252
161	0.6148735283
162	0.6148139636
163	0.6144120027
164	0.6140584011
165	0.6136728757
166	0.6136059673
167	0.6129215525
168	0.612598084
169	0.6125434357
170	0.6120183559
171	0.6115732348
172	0.6113158083
173	0.6112417986
174	0.6110456623
175	0.6107655128
176	0.6104480874
177	0.6100031292
178	0.6095854573
179	0.6092447783
180	0.6089033826
181	0.6087505051
182	0.6085291511
183	0.6082934779
184	0.608088278
185	0.6079396931
186	0.6077131717
187	0.607372981
188	0.6071310062
189	0.6066570802
190	0.6066094371
191	0.6065472317
192	0.606160018
193	0.6061187203
194	0.6060706744
195	0.6060045176
196	0.6058834054
197	0.6057443115
198	0.6054423097
199	0.6052801216
200	0.6051357528
201	0.6050312794
202	0.6049839802
203	0.6047149804
204	0.6044244257
205	0.6042272315
206	0.6041135555
207	0.6035412777
208	0.6032526892
209	0.6029329976
210	0.6027597942
211	0.6025752877
212	0.6022367253
213	0.6021807801
214	0.6019715071
215	0.6018532978
216	0.6017144288
217	0.6015636837
218	0.6012850051
219	0.6009855077
220	0.6008574549
221	0.600808681
222	0.600658483
223	0.6004233428
224	0.6003062319
225	0.6001472453
226	0.5998690817
227	0.5997654693
228	0.5995810362
229	0.5993820024
230	0.5993114488
231	0.5992401209
232	0.5989309348
233	0.5985053751
234	0.5984452762
235	0.5982532041
236	0.5981565658
237	0.5981294134
238	0.5978496402
239	0.5977453201
240	0.5977092933
241	0.5976444031
242	0.5974901053
243	0.597382075
244	0.5971297436
245	0.5969465258
246	0.5966216095
247	0.5965662765
248	0.5964103212
249	0.5962795274
250	0.5960370715
251	0.5959763619
252	0.5956937844
253	0.5956265929
254	0.5953707681
255	0.5951020203
256	0.5946092979
257	0.5944756305
258	0.5943688176
259	0.5940313053
260	0.5940168385
261	0.5939471358
262	0.5937424364
263	0.5935047967
264	0.5934608598
265	0.5931682356
266	0.5930228213
267	0.5926987423
268	0.5925987985
269	0.5924834319
270	0.592188053
271	0.592027637
272	0.5919594601
273	0.5918284397
274	0.5917647786
275	0.5915777407
276	0.5913772694
277	0.5911342298
278	0.5909234724
279	0.5904775816
280	0.5901531603
281	0.5900964073
282	0.5899194526
283	0.5896431336
284	0.5895600283
285	0.589277605
286	0.5889581814
287	0.5887143666
288	0.5884949795
289	0.5882171867
290	0.5879042511
291	0.5875489824
292	0.5875079528
293	0.5873033655
294	0.5872196823
295	0.5868171156
296	0.5867593727
297	0.5867156456
298	0.5865522126
299	0.5865415123
300	0.5865291953
301	0.5862002739
302	0.5861766623
303	0.5859351289
304	0.5856112277
305	0.5855511604
306	0.5853828637
307	0.5852922679
308	0.5850864441
309	0.5849568835
310	0.5848859204
311	0.5844216134
312	0.5843907141
313	0.584118032
314	0.5840458618
315	0.5840316935
316	0.5838789434
317	0.5836655147
318	0.583572787
319	0.5834382377
320	0.5832949451
321	0.5832256218
322	0.5830705551
323	0.5827638697
324	0.5826170402
325	0.5825224845
326	0.5824725939
327	0.5824483945
328	0.5823869101
329	0.5821278082
330	0.5820060789
331	0.5817601867
332	0.5816015004
333	0.5814075407
334	0.5812830219
335	0.5809833481
336	0.5808605935
337	0.580545345
338	0.5802619875
339	0.5801349998
340	0.5799530956
341	0.5797492111
342	0.5796702243
343	0.5794976816
344	0.5794796056
345	0.579452632
346	0.5792386832
347	0.5790524155
348	0.5787342093
349	0.5786766625
350	0.5786605278
351	0.5786271021
352	0.5785703195
353	0.5782908348
354	0.5782283263
355	0.5782094621
356	0.5780562086
357	0.5779908563
358	0.5779830079
359	0.5776901272
360	0.57738372
361	0.5773651391
362	0.5771872045
363	0.5771079545
364	0.5769298927
365	0.5766338665
366	0.5765928954
367	0.5762494262
368	0.576217806
369	0.5761290902
370	0.5759975378
371	0.5759631843
372	0.5757479414
373	0.5754268412
374	0.575404354
375	0.5753132246
376	0.5751971893
377	0.5751586382
378	0.5750493761
379	0.5750226478
380	0.5748788836
381	0.5746418848
382	0.5746292131
383	0.5746123695
384	0.5745819098
385	0.5743046697
386	0.5742426744
387	0.5741792164
388	0.5737744456
389	0.5733421702
390	0.5733074877
391	0.5728515458
392	0.5723101234
393	0.5722233931
394	0.5720657516
395	0.5720526989
396	0.5719348101
397	0.5717821392
398	0.5716015133
399	0.57144961
400	0.5714414865
401	0.5714037352
402	0.5713571472
403	0.5712986992
404	0.5712088491
405	0.5709610477
406	0.5708393689
407	0.5707410543
408	0.5704182578
409	0.570306794
410	0.5702940059
411	0.5702824688
412	0.5702736348
413	0.5701248045
414	0.5699796858
415	0.5699564486
416	0.569941361
417	0.5697746186
418	0.569416073
419	0.5693635871
420	0.568937377
421	0.5689180948
422	0.5688785655
423	0.5688399467
424	0.568550038
425	0.5683745653
426	0.568313709
427	0.5680912119
428	0.5680419049
429	0.5679933214
430	0.5678872783
431	0.5678801886
432	0.5677828351
433	0.5677592643
434	0.5676657493
435	0.567644724
436	0.5676032134
437	0.5674903611
438	0.5673746502
439	0.5672479463
440	0.567096071
441	0.5668363119
442	0.5667904293
443	0.566670209
444	0.5666353796
445	0.5664698046
446	0.5661295036
447	0.5660691016
448	0.5660142449
449	0.5660058435
450	0.5659847612
451	0.5656673513
452	0.5655079437
453	0.5653541253
454	0.5653322367
455	0.5652393288
456	0.5651250716
457	0.5650381958
458	0.5648050744
459	0.564758221
460	0.5646938488
461	0.5645508428
462	0.5644715928
463	0.564283847
464	0.5640828949
465	0.5640333949
466	0.5639211518
467	0.5639087943
468	0.5638426225
469	0.5638336297
470	0.5635950166
471	0.5634581145
472	0.5633285972
473	0.5632784486
474	0.5631861461
475	0.5631293185
476	0.5628310246
477	0.5628163943
478	0.5627228611
479	0.5626378064
480	0.5626151693
481	0.5624342794
482	0.5623053216
483	0.5622071414
484	0.5620566609
485	0.5619032811
486	0.5618159564
487	0.5615941378
488	0.5615306698
489	0.56144691
490	0.5611016284
491	0.5608884264
492	0.5608020659
493	0.5605796024
494	0.5603285199
495	0.5600856802
496	0.559758096
497	0.559710629
498	0.5596497944
499	0.5596392301
500	0.559337756
501	0.5593183581
502	0.5590411427
503	0.5588718007
504	0.558641494
505	0.5585980222
506	0.5585774082
507	0.5584474168
508	0.558362774
509	0.5582109289
510	0.5581297365
511	0.5581098127
512	0.5580286224
513	0.5577158487
514	0.5575574055
515	0.5574558562
516	0.5571838452
517	0.557101919
518	0.5570022478
519	0.556854043
520	0.5568405688
521	0.5567771978
522	0.556717294
523	0.5565134531
524	0.5563136356
525	0.5562231856
526	0.5558855891
527	0.5557329086
528	0.555719615
529	0.5555712605
530	0.5555520579
531	0.5555375822
532	0.5554415328
533	0.5553099926
534	0.5553028864
535	0.5552950115
536	0.5552071822
537	0.5551252946
538	0.5550930002
539	0.5550220752
540	0.5546844371
541	0.5545958408
542	0.5544498698
543	0.5543698021
544	0.5543284025
545	0.5542193981
546	0.5541795375
547	0.5540761034
548	0.553952462
549	0.5538950714
550	0.5537446852
551	0.5536640713
552	0.5536069684
553	0.5535630139
554	0.5534711413
555	0.5532018941
556	0.5531734925
557	0.5530194769
558	0.5529722048
559	0.55292248
560	0.5528362019
561	0.5527568972
562	0.5526539388
563	0.5524631859
564	0.55233845
565	0.5522995108
566	0.5522728158
567	0.5522639927
568	0.5522342751
569	0.5520971583
570	0.5519152026
571	0.5518590438
572	0.5518159783
573	0.5516729411
574	0.5516168014
575	0.5514543743
576	0.5512078796
577	0.5510182043
578	0.5509405272
579	0.5509009405
580	0.55077857
581	0.5505158806
582	0.5504875803
583	0.5501472968
584	0.5501258723
585	0.5498857071
586	0.549775443
587	0.5496941073
588	0.5495549745
589	0.5494687549
590	0.5493018584
591	0.5492585812
592	0.5490586528
593	0.5489804654
594	0.5489269268
595	0.5487698107
596	0.5486627679
597	0.548593932
598	0.5485737623
599	0.548522379
600	0.5483345474
601	0.5482172221
602	0.5482077266
603	0.5478843712
604	0.5478322102
605	0.5476359284
606	0.5473434253
607	0.5472422581
608	0.5472052595
609	0.5471888099
610	0.5471665971
611	0.5468506143
612	0.5468100313
613	0.5467286793
614	0.5466011166
615	0.546452658
616	0.5461751908
617	0.5461088056
618	0.5460112792
619	0.5459025042
620	0.5456291957
621	0.5455945175
622	0.5455113303
623	0.5453470559
624	0.5453124577
625	0.5452680334
626	0.5448518354
627	0.5448262868
628	0.5445045758
629	0.5443958022
630	0.5443239892
631	0.5441616189
632	0.5439805105
633	0.543961785
634	0.5439210331
635	0.5439098789
636	0.5438215179
637	0.5437133707
638	0.5435502465
639	0.5433583462
640	0.5432881262
641	0.5431821194
642	0.5430772644
643	0.5430556619
644	0.542953775
645	0.5427452828
646	0.5427019865
647	0.5426907216
648	0.5426043369
649	0.542507488
650	0.5423621292
651	0.5423184313
652	0.5420304196
653	0.5420241192
654	0.5419044965
655	0.5417577555
656	0.5417022151
657	0.5416953428
658	0.5416687437
659	0.5416587339
660	0.5415010244
661	0.5413923392
662	0.5412595855
663	0.5411461427
664	0.5410475281
665	0.5409466906
666	0.5408337026
667	0.5408261867
668	0.5408019857
669	0.5404446005
670	0.5403475536
671	0.5401095909
672	0.5398160311
673	0.5397948622
674	0.5397454836
675	0.5396667297
676	0.5396271734
677	0.5395338429
678	0.5395260804
679	0.5392793964
680	0.5392147693
681	0.5391006005
682	0.5388206171
683	0.5388022127
684	0.5387687959
685	0.5384049228
686	0.5383956465
687	0.538210069
688	0.5381674502
689	0.5380390084
690	0.5378876865
691	0.5377637266
692	0.5377130466
693	0.5376703951
694	0.5376112722
695	0.5374585725
696	0.5372916831
697	0.5372278674
698	0.5371162508
699	0.5369995834
700	0.5368854418
701	0.5368025122
702	0.5366856637
703	0.5365735008
704	0.5364865472
705	0.5364540877
706	0.536429342
707	0.5363462858
708	0.5361904976
709	0.5361362037
710	0.5361091446
711	0.5360991064
712	0.5359439396
713	0.5357890063
714	0.535650699
715	0.5356360014
716	0.5356277753
717	0.5356134899
718	0.5356069678
719	0.5354693079
720	0.5354051092
721	0.5353996015
722	0.5351732233
723	0.5349323861
724	0.5348419867
725	0.5348254208
726	0.534645242
727	0.5345450681
728	0.5344753764
729	0.5343362273
730	0.5342470544
731	0.5341883796
732	0.5340406318
733	0.5338961278
734	0.5337760124
735	0.5335485693
736	0.5333721258
737	0.5332251297
738	0.53311393
739	0.5329662
740	0.5327960422
741	0.5327034447
742	0.5326841675
743	0.532553027
744	0.5323678752
745	0.5322652836
746	0.5321858377
747	0.5320923901
748	0.5319140013
749	0.5318694982
750	0.5317745844
751	0.5317437033
752	0.5317387151
753	0.5316083373
754	0.5313171863
755	0.5313066508
756	0.5312865308
757	0.5312427233
758	0.5311742271
759	0.5310067368
760	0.5309193192
761	0.5306915945
762	0.5306308858
763	0.530559641
764	0.5303436628
765	0.5302476903
766	0.5300887603
767	0.5300738641
768	0.5300210865
769	0.5298668374
770	0.5297096794
771	0.529606772
772	0.5296008915
773	0.5293566783
774	0.5291866186
775	0.5291402302
776	0.529033475
777	0.5288851769
778	0.528634011
779	0.5285595562
780	0.5285396523
781	0.5285233772
782	0.5283781143
783	0.5281845934
784	0.5280949218
785	0.527902888
786	0.5277810474
787	0.5276126455
788	0.5274978133
789	0.5274086707
790	0.527273913
791	0.5272622508
792	0.5270040823
793	0.5269157164
794	0.5269110914
795	0.5268374533
796	0.5268237507
797	0.5266690669
798	0.5266092429
799	0.5266046883
800	0.5264066433
801	0.5262238331
802	0.5260508065
803	0.5258391461
804	0.5257726723
805	0.5255113007
806	0.5254157947
807	0.5253392112
808	0.525126488
809	0.5250671085
810	0.5250218381
811	0.5249947093
812	0.524840805
813	0.5247375001
814	0.5247142826
815	0.5244886176
816	0.52436126
817	0.5243052498
818	0.5241331666
819	0.5240098066
820	0.5239325249
821	0.5237711054
822	0.5237007793
823	0.5236720811
824	0.5236550943
825	0.5234855087
826	0.5233242966
827	0.5233008996
828	0.5232704753
829	0.5232411301
830	0.5231382996
831	0.5230246008
832	0.5228933256
833	0.5228438025
834	0.5225716853
835	0.5224983112
836	0.5222169725
837	0.522210256
838	0.5219958135
839	0.52180007
840	0.5217297984
841	0.521715361
842	0.5216539228
843	0.5215885453
844	0.5215133527
845	0.5213781421
846	0.5212060071
847	0.5211287139
848	0.5210184705
849	0.5209606185
850	0.5206880735
851	0.5206131899
852	0.5204877841
853	0.5203380513
854	0.5201754408
855	0.520075524
856	0.5198957929
857	0.519843173
858	0.5197742535
859	0.5196918456
860	0.5196043503
861	0.5193107224
862	0.5192360767
863	0.5191999318
864	0.5191814328
865	0.5190356372
866	0.5189828533
867	0.5188842168
868	0.5188554267
869	0.5187634341
870	0.5187449908
871	0.5185911985
872	0.5184644453
873	0.5183774548
874	0.5183379331
875	0.5182567675
876	0.5182148251
877	0.5181122206
878	0.5179765906
879	0.5178406824
880	0.5177643031
881	0.5176298889
882	0.5174419776
883	0.5172074316
884	0.5171859915
885	0.5170200039
886	0.5169953421
887	0.516948235
888	0.5167166571
889	0.5166143626
890	0.5164846707
891	0.5163351136
892	0.5161400865
893	0.5159559049
894	0.5159382005
895	0.5158723173
896	0.515846093
897	0.5158206632
898	0.5158027178
899	0.5156349119
900	0.5155500482
901	0.5153518493
902	0.5152840997
903	0.5148917566
904	0.5147254872
905	0.514577843
906	0.5144969664
907	0.514450182
908	0.5143637176
909	0.5141962578
910	0.5141585955
911	0.5140692061
912	0.5139719624
913	0.5138631101
914	0.5137828915
915	0.5135729384
916	0.5135127862
917	0.5133852437
918	0.5133013921
919	0.5131404678
920	0.5130747496
921	0.5130481389
922	0.5129342342
923	0.5128256943
924	0.5126845775
925	0.5125066144
926	0.5124493852
927	0.5123224451
928	0.5121167669
929	0.5118832587
930	0.5118577123
931	0.5117737369
932	0.5116486671
933	0.5115077376
934	0.5114244041
935	0.5113884419
936	0.5113352144
937	0.5111428945
938	0.5109853842
939	0.5108601963
940	0.5106996345
941	0.5105156387
942	0.5104499142
943	0.5104239763
944	0.5101996373
945	0.5101115973
946	0.5099618783
947	0.509737099
948	0.5096849725
949	0.509668126
950	0.5095132667
951	0.5094067799
952	0.509290888
953	0.5092169266
954	0.5089957209
955	0.5089607199
956	0.5087202205
957	0.5086219641
958	0.5084219931
959	0.508234757
960	0.5081781503
961	0.5081660309
962	0.5080600713
963	0.5079851944
964	0.5079800314
965	0.5077221962
966	0.5076950689
967	0.5075487078
968	0.5074039253
969	0.507029742
970	0.5069492849
971	0.5068484451
972	0.5067779676
973	0.5067537297
974	0.5065040738
975	0.5063680831
976	0.506298077
977	0.5062284699
978	0.5061823263
979	0.5061317456
980	0.5061024549
981	0.506077767
982	0.5058429789
983	0.505767946
984	0.505662095
985	0.5054586647
986	0.5052538894
987	0.5052116803
988	0.5051286082
989	0.5049701254
990	0.5048452977
991	0.5046670279
992	0.5045436074
993	0.5044365824
994	0.504248183
995	0.5042364213
996	0.5041523907
997	0.504039157
998	0.5039494912
999	0.503833578
