iter	Passed	Remaining
404	8057	11837
405	8075	11814
406	8093	11792
407	8111	11768
408	8131	11750
409	8150	11728
410	8167	11704
411	8184	11680
412	8201	11657
413	8218	11633
414	8239	11615
415	8256	11590
416	8274	11567
417	8293	11547
418	8314	11528
419	8331	11505
420	8352	11486
421	8369	11463
422	8390	11444
423	8407	11422
424	8429	11404
425	8448	11384
426	8465	11360
427	8484	11339
428	8504	11319
429	8523	11297
430	8540	11275
431	8557	11251
432	8576	11230
433	8593	11206
434	8610	11184
435	8627	11160
436	8644	11137
437	8663	11116
438	8682	11094
439	8702	11075
440	8721	11055
441	8740	11034
442	8758	11012
443	8775	10989
444	8792	10965
445	8812	10946
446	8835	10930
447	8852	10907
448	8870	10886
449	8887	10862
450	8905	10840
451	8925	10821
452	8947	10804
453	8967	10784
454	8984	10761
455	9003	10740
456	9023	10721
457	9046	10706
458	9070	10691
459	9094	10676
460	9115	10657
461	9136	10639
462	9160	10624
463	9182	10606
464	9203	10589
465	9223	10569
466	9247	10554
467	9269	10536
468	9290	10518
469	9309	10497
470	9332	10481
471	9353	10463
472	9377	10447
473	9396	10427
474	9416	10407
475	9436	10388
476	9458	10371
477	9477	10349
478	9498	10331
479	9518	10312
480	9539	10293
481	9560	10274
482	9582	10257
483	9604	10239
484	9627	10222
485	9648	10203
486	9667	10183
487	9693	10170
488	9716	10153
489	9735	10133
490	9757	10114
491	9778	10096
492	9797	10076
493	9821	10060
494	9846	10045
495	9869	10028
496	9893	10013
497	9914	9994
498	9935	9975
499	9953	9953
500	9977	9938
501	9997	9918
502	10020	9900
503	10045	9885
504	10071	9871
505	10090	9851
506	10111	9832
507	10135	9816
508	10155	9796
509	10179	9780
510	10202	9762
511	10222	9743
512	10243	9724
513	10266	9706
514	10288	9689
515	10309	9670
516	10332	9652
517	10353	9633
518	10371	9612
519	10394	9595
520	10412	9573
521	10431	9552
522	10450	9531
523	10468	9509
524	10490	9491
525	10509	9470
526	10532	9453
527	10553	9434
528	10571	9412
529	10590	9391
530	10607	9369
531	10624	9346
532	10642	9324
533	10662	9305
534	10679	9282
535	10696	9259
536	10716	9239
537	10734	9218
538	10751	9195
539	10771	9175
540	10792	9156
541	10811	9135
542	10832	9117
543	10850	9095
544	10869	9074
545	10886	9052
546	10906	9032
547	10927	9013
548	10947	8993
549	10966	8972
550	10985	8951
551	11004	8930
552	11023	8910
553	11040	8888
554	11060	8868
555	11081	8849
556	11099	8828
557	11121	8809
558	11139	8788
559	11157	8766
560	11178	8747
561	11198	8727
562	11217	8707
563	11237	8687
564	11257	8667
565	11275	8645
566	11294	8625
567	11311	8602
568	11329	8581
569	11349	8561
570	11370	8542
571	11391	8523
572	11411	8503
573	11432	8484
574	11449	8462
575	11468	8441
576	11488	8422
577	11508	8402
578	11526	8381
579	11545	8360
580	11567	8341
581	11588	8323
582	11605	8300
583	11627	8282
584	11646	8262
585	11668	8243
586	11687	8223
587	11705	8202
588	11725	8181
589	11745	8161
590	11764	8141
591	11783	8120
592	11803	8101
593	11822	8080
594	11838	8058
595	11859	8038
596	11878	8018
597	11897	7997
598	11914	7975
599	11932	7955
600	11954	7936
601	11975	7917
602	11992	7895
603	12013	7876
604	12030	7854
605	12050	7834
606	12070	7815
607	12089	7794
608	12108	7774
609	12125	7752
610	12142	7730
611	12166	7713
612	12184	7692
613	12201	7670
614	12222	7651
615	12243	7632
616	12264	7613
617	12285	7594
618	12304	7573
619	12323	7553
620	12342	7532
621	12361	7512
622	12381	7492
623	12399	7471
624	12418	7451
625	12436	7430
626	12460	7412
627	12478	7391
628	12498	7371
629	12517	7351
630	12536	7331
631	12555	7310
632	12575	7291
633	12594	7270
634	12611	7249
635	12629	7228
636	12649	7208
637	12668	7188
638	12689	7168
639	12710	7149
640	12732	7130
641	12754	7112
642	12776	7093
643	12795	7073
644	12815	7053
645	12838	7035
646	12861	7017
647	12881	6997
648	12903	6978
649	12924	6959
650	12948	6941
651	12967	6921
652	12989	6902
653	13007	6881
654	13028	6862
655	13054	6845
656	13075	6826
657	13093	6805
658	13114	6785
659	13132	6765
660	13156	6747
661	13179	6729
662	13202	6710
663	13223	6691
664	13244	6672
665	13269	6654
666	13348	6664
667	13369	6644
668	13390	6625
669	13414	6607
670	13437	6588
671	13461	6570
672	13485	6552
673	13506	6532
674	13528	6513
675	13551	6495
676	13571	6475
677	13596	6457
678	13614	6436
679	13636	6417
680	13660	6398
681	13681	6379
682	13704	6360
683	13727	6342
684	13749	6322
685	13776	6305
686	13795	6285
687	13818	6266
688	13838	6246
689	13860	6227
690	13884	6208
691	13906	6189
692	13927	6169
693	13946	6149
694	13967	6129
695	13991	6111
696	14014	6092
697	14036	6073
698	14056	6052
699	14076	6032
700	14101	6014
701	14122	5994
702	14147	5976
703	14169	5957
704	14191	5938
705	14210	5917
706	14230	5897
707	14253	5878
708	14274	5858
709	14296	5839
710	14318	5819
711	14337	5799
712	14359	5780
713	14381	5760
714	14404	5741
715	14424	5721
716	14443	5700
717	14462	5680
718	14480	5659
719	14504	5640
720	14526	5621
721	14546	5600
722	14566	5580
723	14585	5560
724	14609	5541
725	14628	5521
726	14653	5502
727	14674	5482
728	14696	5463
729	14720	5444
730	14744	5425
731	14762	5404
732	14783	5384
733	14806	5365
734	14828	5346
735	14853	5327
736	14876	5308
737	14895	5288
738	14915	5267
739	14937	5248
740	14961	5229
741	14984	5210
742	15006	5190
743	15027	5170
744	15051	5151
745	15072	5131
746	15093	5111
747	15115	5092
748	15137	5072
749	15159	5053
750	15180	5033
751	15202	5013
752	15220	4992
753	15243	4973
754	15267	4954
755	15285	4933
756	15305	4913
757	15327	4893
758	15349	4873
759	15371	4854
760	15393	4834
761	15415	4814
762	15437	4795
763	15459	4775
764	15484	4756
765	15505	4736
766	15529	4717
767	15549	4697
768	15577	4679
769	15600	4659
770	15622	4640
771	15644	4620
772	15664	4599
773	15690	4581
774	15711	4561
775	15734	4541
776	15758	4522
777	15781	4503
778	15806	4484
779	15828	4464
780	15846	4443
781	15864	4422
782	15886	4402
783	15906	4382
784	15925	4361
785	15946	4341
786	15965	4321
787	15987	4301
788	16010	4281
789	16034	4262
790	16055	4242
791	16075	4221
792	16100	4202
793	16120	4182
794	16139	4161
795	16163	4142
796	16181	4121
797	16205	4102
798	16227	4082
799	16247	4061
800	16271	4042
801	16299	4024
802	16323	4004
803	16350	3985
804	16375	3966
805	16400	3947
806	16421	3927
807	16443	3907
808	16464	3887
809	16482	3866
810	16500	3845
811	16518	3824
812	16539	3804
813	16560	3784
814	16581	3763
815	16603	3744
816	16628	3724
817	16651	3704
818	16675	3685
819	16698	3665
820	16721	3645
821	16747	3626
822	16767	3606
823	16786	3585
824	16805	3564
825	16827	3544
826	16850	3524
827	16868	3504
828	16886	3483
829	16906	3462
830	16926	3442
831	16945	3421
832	16968	3401
833	16987	3381
834	17006	3360
835	17025	3339
836	17051	3320
837	17068	3299
838	17091	3279
839	17111	3259
840	17132	3239
841	17150	3218
842	17168	3197
843	17190	3177
844	17211	3157
845	17233	3137
846	17256	3117
847	17278	3097
848	17301	3077
849	17323	3057
850	17348	3037
851	17368	3017
852	17392	2997
853	17416	2977
854	17442	2958
855	17464	2938
856	17493	2918
857	17515	2898
858	17540	2879
859	17561	2858
860	17584	2838
861	17609	2819
862	17630	2798
863	17652	2778
864	17672	2758
865	17695	2738
866	17718	2718
867	17743	2698
868	17763	2677
869	17787	2657
870	17806	2637
871	17827	2616
872	17849	2596
873	17871	2576
874	17893	2556
875	17921	2536
876	17944	2516
877	17966	2496
878	17989	2476
879	18012	2456
880	18035	2436
881	18056	2415
882	18078	2395
883	18100	2375
884	18116	2354
885	18136	2333
886	18155	2312
887	18174	2292
888	18196	2272
889	18215	2251
890	18233	2230
891	18254	2210
892	18276	2189
893	18297	2169
894	18314	2148
895	18334	2128
896	18353	2107
897	18372	2086
898	18390	2066
899	18409	2045
900	18429	2024
901	18450	2004
902	18468	1983
903	18491	1963
904	18512	1943
905	18533	1922
906	18552	1902
907	18572	1881
908	18593	1861
909	18615	1841
910	18636	1820
911	18656	1800
912	18676	1779
913	18694	1758
914	18715	1738
915	18737	1718
916	18756	1697
917	18777	1677
918	18795	1656
919	18817	1636
920	18837	1615
921	18855	1595
922	18874	1574
923	18895	1554
924	18916	1533
925	18936	1513
926	18956	1492
927	18975	1472
928	18995	1451
929	19016	1431
930	19033	1410
931	19053	1390
932	19074	1369
933	19094	1349
934	19114	1328
935	19133	1308
936	19154	1287
937	19174	1267
938	19195	1246
939	19216	1226
940	19238	1206
941	19258	1185
942	19278	1165
943	19297	1144
944	19318	1124
945	19336	1103
946	19355	1083
947	19376	1062
948	19394	1042
949	19411	1021
950	19433	1001
951	19454	980
952	19472	960
953	19494	939
954	19516	919
955	19535	899
956	19558	878
957	19577	858
958	19596	837
959	19617	817
960	19636	796
961	19654	776
962	19674	755
963	19693	735
964	19709	714
965	19730	694
966	19748	673
967	19769	653
968	19790	633
969	19811	612
970	19831	592
971	19852	571
972	19872	551
973	19892	531
974	19913	510
975	19934	490
976	19955	469
977	19974	449
978	19992	428
979	20011	408
980	20029	387
981	20048	367
982	20072	347
983	20091	326
984	20111	306
985	20132	285
986	20155	265
987	20173	245
988	20191	224
989	20210	204
990	20231	183
991	20252	163
992	20272	142
993	20293	122
994	20317	102
995	20335	81
996	20356	61
997	20378	40
998	20398	20
999	20420	0
